#{"t_start": 1683583631.405932, "env_id": "gym_examples/GridWorld-v0"}
r,l,t
-980,6,204.474625
-20330,176,205.893651
-6630,88,206.675855
-1380,27,206.904969
-22450,55,207.346317
-8895,51,207.761488
-1465,10,207.841844
-9000,18,207.975941
-8235,70,208.561577
-18250,289,210.891117
-9365,46,211.253288
-42995,87,211.936322
-19830,51,212.353626
-5990,115,213.349248
-2440,17,213.479624
-6915,31,213.733252
-15205,145,214.891357
-14790,96,215.648286
-1390,25,215.862989
-27435,68,216.394319
-25945,63,216.909621
-11885,75,217.512784
-18705,198,219.138899
-9435,234,221.006139
-7590,98,221.79324
-2410,23,221.978393
-340,33,222.249607
-5390,33,222.517967
-11915,41,222.846012
-6000,12,222.939812
-2490,7,222.995087
-6475,18,223.130177
-6500,13,223.238711
-4995,11,223.328106
-7485,18,223.469629
-5500,11,223.55895
-6385,36,223.852739
-17795,77,224.475779
-12965,134,225.536058
-9150,89,226.25647
-1400,23,226.44355
-5490,13,226.544096
-1500,3,226.570194
-2945,17,226.701967
-9000,119,227.657114
-12080,109,228.534904
-8420,146,229.68152
-7830,252,231.675416
-97790,844,238.460318
-17680,71,239.02782
-10355,55,239.472406
-435,14,239.580079
-8480,21,239.754215
-14865,259,241.89069
-19240,168,243.229189
-7000,14,243.338069
-4965,118,244.27051
-20315,78,244.894078
-340,33,245.163268
-2340,37,245.483321
-8255,66,246.028725
-10275,66,246.695943
-6445,24,246.880302
-1355,32,247.152758
-325,36,247.441445
-8320,154,248.721183
-12440,37,249.078628
-25450,61,249.564298
-345,32,249.81771
-5475,16,249.947667
-960,10,250.020995
-18880,62,250.523087
-7250,65,251.055127
-11830,58,251.609455
-9675,85,252.295078
-12270,71,252.86525
-40170,440,256.444116
-490,3,256.465628
-11825,59,256.943626
-14115,106,257.79908
-380,25,257.999536
-930,16,258.128826
-1365,30,258.365298
-11220,79,258.990948
-6940,26,259.200645
-22330,79,260.107528
-51670,537,264.556492
-9420,35,264.838284
-38150,147,266.009318
-5455,20,266.16859
-12300,65,266.699264
-16225,88,267.401803
-7000,14,267.519928
-6005,112,268.418328
-430,15,268.540124
-7415,133,269.58521
-18410,55,270.038508
-72675,615,274.956201
-9815,259,277.032288
-16135,106,277.887932
-11910,42,278.21841
-11950,34,278.488517
-19940,52,278.903466
-25075,136,279.994801
-18345,68,280.538114
-28000,56,280.983406
-11930,38,281.291877
-9500,19,281.437671
-17260,83,282.100553
-25455,60,282.573985
-35615,149,283.781899
-14720,86,284.470208
-36700,336,287.176602
-490,3,287.201305
-9500,19,287.355939
-37650,146,288.511155
-355,30,288.757787
-145,72,289.333332
-10430,35,289.612754
-3455,117,290.548968
-265,48,290.939982
-285,44,291.28533
-9445,75,291.878767
-435,14,291.991407
-12880,50,292.388573
-15450,142,293.506311
-5820,48,293.897799
-8895,39,294.213029
-15925,47,294.594729
-10440,235,296.519366
-5425,26,296.728851
-7220,71,297.307983
-395,22,297.485443
-16370,59,297.958801
-12195,86,298.665827
-23705,107,299.531058
-9780,64,300.044142
-10440,33,300.358967
-15645,103,301.640882
-15750,82,302.414467
-18940,50,303.070293
-6360,41,303.47434
-13840,60,304.129817
-19140,111,304.994913
-17995,37,305.27073
-13460,136,306.935912
-7725,65,308.090963
-5820,48,308.518482
-93910,609,313.597534
-9855,150,314.76122
-54370,757,320.577429
-12395,46,320.932506
-11000,22,321.09835
-415,18,321.231456
-5500,11,321.314733
-21965,51,321.694155
-3365,34,321.951379
-6060,101,322.71775
-19525,138,323.763083
-960,10,323.843506
-39215,136,324.891261
-9985,23,325.075818
-16425,48,325.444599
-6955,23,325.622083
-10200,81,326.261811
-8415,34,326.515499
-6060,101,327.276555
-6475,18,327.418507
-12750,76,327.992406
-485,4,328.02357
-4000,8,328.085656
-2930,20,328.234462
-11260,71,328.792803
-2380,29,329.009056
-21325,78,329.602017
-11000,22,329.760748
-410,19,329.90608
-425,16,330.025621
-7455,24,330.219744
-8395,38,330.503402
-9000,18,330.633758
-945,13,330.74268
-420,17,330.875431
-19790,183,332.284159
-500,1,332.291087
-14320,166,333.573354
-10230,75,334.148263
-10275,268,336.193793
-2755,156,337.369267
-30240,113,338.232419
-2210,19,338.371688
-14495,30,338.598433
-925,17,338.72659
-17415,52,339.144225
-6270,59,340.187962
-10475,26,340.442604
-8610,96,341.259364
-18095,219,343.024961
-385,24,343.213865
-9460,72,343.789094
-17810,276,345.968353
-9865,47,346.328824
-4500,9,346.401364
-6830,48,346.769807
-10985,108,347.624674
-6000,12,347.723423
-7360,144,348.887756
-1640,76,349.481919
-11830,58,349.931429
-6675,79,350.544284
-1500,3,350.569915
-5385,135,351.630785
-475,6,351.685704
-1490,5,351.72506
-5000,10,351.800896
-6445,24,351.99132
-5510,110,352.861715
-66550,325,355.454682
-6890,36,355.751974
-9910,38,356.04225
-32400,287,358.237788
-19360,67,358.749704
-420,17,358.878284
-33655,238,360.732901
-2330,16,360.857755
-7000,14,360.967539
-5000,10,361.042572
-4300,49,361.441465
-11700,84,362.084225
-9495,20,362.238
-25985,156,363.438672
-11500,23,363.623388
-16480,144,364.758942
-1180,67,365.279919
-5780,56,365.744234
-32135,270,367.800483
-7770,62,368.268337
-16995,35,368.542801
-330,35,368.805011
-10910,40,369.12202
-7450,25,369.314487
-4930,24,369.498812
-6490,15,369.610491
-5945,23,369.784639
-1470,9,369.853451
-6250,63,370.341576
-4870,36,370.613146
-455,10,370.695082
-2460,13,370.804571
-14510,128,371.797462
-10465,28,372.006981
-79365,287,374.161408
-3415,24,374.345413
-6415,30,374.588781
-6725,69,375.108541
-18285,214,376.805716
-12830,60,377.254634
-10235,74,377.81012
-9370,45,378.145884
-5315,48,378.497037
-10770,68,379.007695
-500,1,379.014451
-12510,72,379.561513
-14465,36,379.841551
-13695,203,381.393534
-1420,19,381.53601
-4000,8,381.599641
-18495,38,381.877638
-11895,128,382.859947
-29405,280,385.012893
-8425,133,386.033361
-17805,75,386.687993
-3000,6,386.742789
-7395,137,387.786926
-8895,39,388.072257
-8965,25,388.268424
-7890,38,388.552155
-7955,25,388.74231
-12430,39,389.038261
-490,3,389.061048
-8000,16,389.180082
-6895,35,389.449771
-39610,259,391.404064
-490,3,391.423902
-3005,106,392.235164
-7975,21,392.388844
-8395,38,392.740824
-5970,18,392.912633
-2000,4,392.948269
-3500,7,393.004788
-7425,30,393.321133
-6900,34,393.713875
-5430,25,393.95153
-23225,203,395.941172
-11725,79,396.541975
-470,7,396.601267
-7300,55,397.134577
-19655,109,398.166099
-9900,40,398.539766
-2485,8,398.608838
-4500,9,398.701023
-11910,44,399.124547
-1500,3,399.152367
-13145,98,400.086236
-8295,58,400.603966
-5500,11,400.686001
-6190,75,401.386106
-6450,23,401.585203
-5850,42,401.996637
-9390,41,402.385386
-9775,65,402.985913
-415,18,403.148081
-3165,74,403.772605
