#{"t_start": 1683583631.417006, "env_id": "gym_examples/GridWorld-v0"}
r,l,t
-4800,50,0.712231
-26665,121,1.906192
-67960,447,5.413418
-25180,115,6.336225
-8870,44,6.803729
-18880,62,7.402882
-7855,45,7.795262
-10485,24,8.032675
-16905,53,8.5455
-20465,48,9.025203
-14980,34,9.37067
-21745,95,10.283484
-21830,78,10.881247
-16230,87,11.575428
-63850,158,12.84754
-10000,20,13.020023
-25945,63,13.539518
-28770,205,15.455412
-17770,82,16.103052
-65410,182,17.592917
-123905,368,21.278507
-22855,75,21.993341
-28335,90,22.798302
-68490,341,25.709403
-11000,22,25.874136
-24470,55,26.301728
-8460,126,27.284395
-23735,112,28.157494
-52415,122,29.136877
-25195,112,30.0098
-8420,33,30.258867
-5860,40,30.577188
-355,30,30.82483
-7495,16,30.9492
-9415,36,31.237904
-15920,48,31.611945
-9910,38,31.9126
-7925,31,32.154597
-9430,33,32.415029
-13275,72,32.985124
-10955,31,33.230447
-835,35,33.504337
-265,48,33.883199
-13870,54,34.310468
-6495,14,34.417716
-2820,42,34.75751
-500,1,34.765771
-1380,27,34.981336
-18125,97,35.748293
-7355,44,36.090533
-7390,37,36.386927
-7900,36,36.686293
-23320,85,37.352739
-156360,809,43.992353
-21685,107,45.391704
-21985,47,45.861381
-7190,77,46.720966
-18505,109,47.792987
-41575,371,51.155493
-58115,174,52.691854
-35490,73,53.309327
-24500,49,53.705632
-14255,78,54.510383
-48800,340,57.536275
-6960,22,57.740689
-89020,376,61.491886
-10500,21,61.703997
-40605,161,63.089353
-30065,148,64.383582
-3735,61,65.114582
-20465,48,65.622624
-6920,30,65.889955
-57655,225,67.697386
-17255,84,68.535785
-13415,44,68.876999
-53565,195,70.408927
-37980,80,71.108432
-14930,44,71.476989
-11485,26,71.672303
-21480,47,72.061039
-2275,50,72.511824
-7395,36,72.916228
-9395,40,73.343987
-12395,46,73.769226
-18300,77,74.457676
-13580,112,75.716802
-12920,42,76.130763
-6470,19,76.36098
-10430,35,76.744481
-9475,24,76.960884
-6995,15,77.079058
-10495,22,77.312165
-5620,88,78.147335
-13495,28,78.397152
-895,23,78.596575
-2955,15,78.726278
-7000,14,78.855132
-15995,33,79.147943
-23885,71,79.839862
-8500,17,80.108173
-11990,26,80.393697
-11145,94,81.262041
-70630,216,82.963715
-8800,58,83.428304
-9690,21,83.586653
-10500,21,83.751203
-10380,45,84.105028
-9920,36,84.414831
-9875,45,84.757155
-1825,39,85.067678
-11095,32,85.326035
-32905,186,86.798817
-1220,59,87.265096
-40150,335,89.928025
-58305,459,93.792882
-16225,88,94.480302
-19910,58,94.934173
-24000,48,95.312982
-26515,151,96.514478
-9480,23,96.696828
-860,30,96.941273
-12625,101,97.726834
-14540,122,98.658561
-29865,87,99.332575
-15470,37,99.617784
-11300,63,100.110457
-18375,62,100.593517
-24250,99,101.398669
-13110,105,102.24682
-11470,71,102.802853
-18725,93,103.529536
-21870,171,104.87903
-44700,150,106.083201
-22975,51,106.481324
-14950,40,106.792091
-465,8,106.863749
-21425,58,107.319236
-695,63,107.812103
-6355,42,108.140549
-8125,92,108.870288
-19500,39,109.172359
-12645,198,110.747874
-44455,199,112.313352
-53045,400,115.506616
-18305,76,116.117514
-142540,497,120.050446
-110,79,120.673059
-46105,172,122.032198
-6025,209,123.678956
-15470,37,123.972353
-44325,124,124.957707
-22435,58,125.440273
-36035,267,127.565176
-38765,171,128.929141
-2315,42,129.258729
-11185,86,129.938141
-78820,546,134.293454
-11875,49,134.670338
-11955,134,136.074276
-985,5,136.119433
-6445,24,136.314106
-24000,48,136.695655
-9850,50,137.089674
-20000,40,137.401609
-7895,37,137.68804
-5480,15,137.811851
-9000,18,137.965493
-17645,107,138.805212
-3825,43,139.14785
-12625,101,139.934753
-15485,34,140.206542
-915,19,140.361698
-10500,21,140.5219
-33770,114,141.441259
-1925,19,141.594717
-51855,335,144.251759
-9075,104,145.138037
-1910,22,145.316438
-1495,4,145.343487
-490,3,145.36701
-26800,94,146.128497
-8785,61,146.638942
-54290,359,149.480278
-9970,26,149.681607
-72200,220,151.428872
-4500,9,151.503933
-7000,14,151.616288
-13215,84,152.282678
-6435,26,152.499144
-9500,19,152.64237
-7465,22,152.820189
-9460,27,153.035243
-435,14,153.144849
-330,35,153.420806
-7440,27,153.636784
-15760,80,154.346579
-52970,213,156.100568
-1320,39,156.418966
-6990,26,156.622435
-10805,162,157.899258
-11640,96,158.654528
-2405,24,158.842698
-18640,110,159.708928
-7435,28,159.930082
-5595,12,160.025356
-5345,42,160.3675
-7435,28,160.58533
-5995,13,160.704434
-14445,40,161.02196
-13900,48,161.399184
-4930,226,163.174172
-1750,54,163.602188
-17270,81,164.255998
-1885,27,164.470708
-61015,312,166.973745
-9405,38,167.281281
-405,20,167.441207
-6480,17,167.576194
-430,15,167.697078
-16330,67,168.225444
-6475,18,168.36593
-6500,13,168.467695
-11210,81,169.100205
-370,27,169.326318
-17905,55,169.76786
-9345,252,171.761265
-9875,45,172.111833
-2350,35,172.410321
-27850,86,173.085949
-11465,30,173.32176
-7980,20,173.48407
-4500,9,173.54934
-495,2,173.572407
-9415,36,173.855313
-40935,196,175.420963
-445,12,175.584809
-6375,38,175.902984
-45,92,176.747263
-20190,305,179.207757
-22775,178,180.637688
-9910,38,180.967557
-10475,127,181.974012
-39210,137,183.074614
-6950,24,183.261779
-9470,25,183.458646
-4950,20,183.622346
-4915,27,183.83957
-9980,24,184.018914
-11925,39,184.339499
-18165,94,185.097908
-10555,111,186.023384
-11900,44,186.368888
-450,11,186.456608
-720,58,186.921299
-1445,14,187.033499
-21440,156,188.439718
-925,17,188.569127
-360,29,188.808511
-12830,60,189.285455
-42775,131,190.319264
-13470,33,190.581887
-13905,47,190.964996
-12160,93,191.690983
-25430,166,192.998576
-9415,36,193.273117
-47535,290,195.592693
-18495,38,195.889934
-82045,365,198.7853
-14595,111,199.664214
-8430,35,199.955918
-955,11,200.04069
-10060,210,201.764939
-460,9,201.841416
-7955,25,202.035981
-14670,96,202.796986
-7935,130,203.860288
-19290,81,204.511384
-1920,20,204.68236
-22485,48,205.055614
-9640,92,205.804728
-7390,37,206.101497
-6425,28,206.398585
-7395,36,206.697413
-450,11,206.785168
-16635,107,207.656213
-1450,13,207.760968
-7480,19,207.909333
-415,18,208.049631
-5500,11,208.166704
-1485,6,208.21364
-385,24,208.407504
-12825,61,208.899077
-67950,146,210.041844
-180,65,210.575857
-36365,302,213.081958
-395,22,213.252728
-8930,32,213.510064
-13170,93,214.253926
-11630,98,215.036853
-5460,120,215.995351
-17070,121,216.964804
-4500,9,217.035671
-10415,38,217.345782
-10865,49,217.743515
-50120,278,219.988197
-3500,7,220.049612
-365,28,220.268169
-15280,75,220.87355
-12605,105,221.712821
-6985,17,221.852466
-8500,17,222.00015
-5885,35,222.284097
-5925,27,222.495149
-2985,9,222.569383
-12875,46,222.942111
-4925,25,223.129467
-11370,49,223.527303
-500,1,223.533877
-5920,28,223.765571
-5815,49,224.170323
-425,16,224.296231
-6000,12,224.387192
-17930,50,224.786931
-12965,33,225.055725
-24395,171,226.417235
-7500,15,226.538136
-9845,152,227.75697
-400,21,227.917062
-8500,17,228.06462
-8315,155,229.281876
-8795,59,229.751834
-445,12,229.848377
-12900,349,232.609517
-12000,24,232.81007
-9495,20,232.971563
-68940,453,236.624372
-5920,230,238.469591
-9485,22,238.64652
-500,1,238.653525
-14660,98,239.44594
-4405,28,239.664469
-32900,86,240.356764
-6600,94,241.138005
-27650,126,242.173412
-26770,201,243.779519
-8400,37,244.071405
-1500,3,244.095139
-1460,11,244.181776
-15305,70,244.7363
