#{"t_start": 1683583631.413313, "env_id": "gym_examples/GridWorld-v0"}
r,l,t
-20650,213,2.231234
-31210,90,2.913306
-27475,60,3.371404
-21500,43,3.705477
-22400,65,4.228102
-32965,174,5.628493
-8580,102,6.482141
-21320,79,7.304682
-12945,37,7.608017
-10500,21,7.796871
-17045,96,8.70368
-20420,57,9.321713
-17360,63,9.979942
-19140,212,11.643674
-26790,96,12.379228
-19280,83,13.107583
-21485,46,13.487596
-39095,160,15.031379
-44900,211,16.727548
-78120,233,18.76045
-62465,233,21.206174
-17500,35,21.514581
-985,5,21.573429
-26835,188,23.350308
-56490,115,24.33983
-14455,38,24.657208
-8885,41,24.985931
-50270,149,26.155304
-22420,61,26.643881
-9500,19,26.791142
-36570,160,28.02723
-22475,50,28.418413
-20825,77,29.051024
-13400,47,29.416743
-1355,32,29.666243
-23875,68,30.185643
-7815,53,30.603574
-5930,26,30.819968
-7950,26,31.027321
-11500,23,31.203074
-6400,33,31.462977
-5500,11,31.555511
-16000,32,31.803178
-9385,42,32.132318
-9960,28,32.351955
-1825,39,32.666106
-7930,30,32.902306
-10995,23,33.082326
-995,3,33.10692
-5975,17,33.239608
-875,27,33.452896
-8475,22,33.625941
-11425,38,33.92032
-7225,70,34.482317
-435,14,34.598313
-11000,22,34.767471
-13810,66,35.282172
-8455,26,35.48209
-5500,11,35.568082
-11875,49,35.967424
-6990,16,36.092067
-8420,33,36.357014
-5735,65,36.882695
-11960,32,37.138349
-20310,79,37.745866
-40225,136,38.905897
-30400,81,39.535792
-38870,104,40.360077
-25440,63,40.860496
-60575,207,42.59331
-49955,109,43.434086
-42300,428,48.027844
-12935,39,48.39338
-41190,145,49.588272
-2085,88,50.448215
-15790,175,52.111164
-5490,13,52.240532
-2880,30,52.483979
-2445,16,52.614867
-12555,115,53.575386
-18735,91,54.486595
-126685,364,57.734814
-15445,143,58.97842
-17535,78,59.983526
-128245,409,63.677343
-9495,20,63.85089
-28685,121,65.15047
-19450,150,66.494847
-23185,110,67.376014
-10305,60,67.869958
-67995,238,69.885026
-11000,22,70.051344
-840,34,70.321804
-460,9,70.409501
-15980,36,70.75461
-47700,156,72.022167
-11230,77,72.757906
-5850,42,73.18265
-19000,38,73.579722
-6000,12,73.698269
-9455,28,73.954337
-15885,55,74.444162
-17945,47,74.899078
-11840,56,75.582577
-12845,57,76.187735
-9935,33,76.546553
-8735,71,77.229318
-8970,24,77.503583
