#{"t_start": 1683654376.752047, "env_id": "gym_examples/GridWorld-v0"}
r,l,t
-300,20,0.273102
-144,121,0.528533
-18,371,1.34616
-48,87,1.542229
0,1,1.546001
-294,23,1.592151
-1245,64,1.736103
237,227,2.207984
-267,65,2.338927
-300,23,2.392461
-300,108,2.619537
-765,98,2.822528
309,503,3.994405
-1116,313,4.668184
-270,100,7.404797
-135,15,7.441487
-87,92,7.632988
-267,62,7.768326
-945,202,8.345164
-1074,233,8.856897
-168,137,9.143386
-300,13,9.170902
-183,122,9.42984
300,117,9.676514
3,23,9.722491
-6,153,10.052036
-87,110,10.464206
-30,108,10.695875
-85,290,11.306946
-786,34,11.379324
-300,44,11.47069
-195,49,11.575357
-1377,157,11.90985
-252,42,14.413394
-300,17,14.45071
-159,112,14.684849
-48,116,14.929016
-1335,127,15.195835
-264,42,15.286192
-2060,441,16.22838
120,139,16.516958
-2907,295,17.190487
-898,178,17.68267
-129,229,18.192395
-738,225,18.699846
-300,47,18.800623
-69,442,22.933608
918,477,24.14833
207,250,24.727621
144,49,24.842135
-1063,215,25.363092
-1050,84,25.561415
-18,174,25.963268
0,1,25.965768
-210,94,26.174718
-1890,187,26.623458
-1014,251,29.845402
234,160,30.203061
-703,95,30.415261
-1671,126,30.697084
3,483,31.780329
-300,18,31.820127
-300,18,31.862201
30,28,31.922438
-75,126,32.202977
279,291,32.907408
-258,101,33.160263
-72,113,33.439811
-447,56,33.578338
-1488,88,33.79096
-174,43,33.993322
192,205,38.519034
-183,94,38.768534
-1476,427,39.930393
-582,103,40.216557
324,187,40.874107
-909,268,41.648655
-1083,454,42.8921
-639,485,44.16025
-366,434,48.327652
-123,237,48.870671
-459,456,50.204824
-336,358,51.259375
-681,131,51.730338
-1658,176,52.128378
147,63,52.308371
-930,44,52.431869
-108,110,52.690064
-1476,212,56.4144
261,296,57.174201
-948,488,58.638959
-1584,355,59.588249
378,138,59.922839
237,333,60.701108
-300,1,60.703819
-708,460,64.691015
864,448,65.740532
-570,422,66.715265
-1210,61,66.861029
228,121,67.144657
927,452,68.194093
-144,165,68.578222
149,415,72.267968
252,230,72.814905
-267,86,73.011486
-1197,105,73.254335
-261,441,74.293488
-1086,404,75.250656
-1350,460,76.337512
-654,402,79.998527
-480,437,81.024891
-363,382,81.919735
-270,29,81.995263
378,475,83.086761
-54,190,83.520767
-2110,490,87.469494
-39,264,88.076883
48,95,88.29519
