#{"t_start": 1683583631.419701, "env_id": "gym_examples/GridWorld-v0"}
r,l,t
-36675,139,1.642591
-7500,15,1.763752
-85640,244,3.639932
-18850,68,4.185686
-20240,93,4.957599
-495,2,4.975239
-31500,63,5.462412
-11455,32,5.7269
-28440,69,6.262474
-10165,88,7.147147
-500,1,7.157651
-1000,2,7.190693
-34290,313,10.210107
-24740,102,10.991077
-9785,63,11.506053
-10410,39,11.798629
-9445,30,12.022902
-8935,31,12.26469
-18970,44,12.647275
-8400,37,12.967064
-21000,42,13.325255
-30310,99,14.262434
-11170,89,15.095217
-21290,85,15.774584
-23290,89,16.49848
-28870,84,17.16897
-24355,78,17.834912
-64605,209,20.00733
-25975,57,20.526662
-15410,49,21.017048
-24275,94,21.92545
-14755,79,22.659274
-12830,60,23.209627
-12305,64,23.75941
-28980,62,24.316241
-12955,35,24.613123
-13355,56,25.062278
-29840,92,25.792958
-23440,59,26.250814
-34330,103,27.051645
-11755,73,27.623928
-17330,69,28.155972
-260,49,28.545415
-6955,23,28.724548
-13000,26,28.944277
-21935,158,30.174387
-14990,32,30.415682
-14460,37,30.730699
-5890,34,31.001823
-9430,33,31.259779
-12000,24,31.444152
-9755,69,31.989893
-430,15,32.107915
-5975,17,32.240167
-11500,23,32.421407
-17885,59,32.891082
-500,1,32.898459
-430,15,33.014785
-10880,46,33.37458
-6440,25,33.57141
-12985,29,33.799427
-5965,19,33.95224
-7475,20,34.109864
-20890,64,34.622859
-6985,17,34.756145
-16900,54,35.180911
-5475,16,35.302196
-17905,55,35.746803
-9355,48,36.118243
-6000,12,36.215088
-6000,12,36.307302
-28820,94,37.069236
-320,37,37.357734
-11315,60,37.82125
-36185,136,38.981369
-21695,105,39.793572
-72460,254,41.915587
-1000,2,41.93272
-1065,90,42.63955
-18500,37,42.923407
-19355,68,43.446855
-21925,59,44.015162
-22450,55,44.82746
-13500,27,45.127242
-435,14,45.275175
-8500,17,45.50235
-8815,55,46.047708
-23445,159,47.709151
-1525,99,48.561954
-39875,105,49.433335
-12480,29,49.65879
-30080,145,51.126768
-22895,67,51.745523
-2585,55,52.237968
-8385,40,52.558201
-5480,15,52.690934
-26745,105,53.563701
-13735,81,54.395505
-84655,340,57.402233
-25395,72,58.045897
-950,12,58.14379
-30350,91,58.939056
-19305,78,59.94168
-1275,48,60.444913
-24395,171,62.044763
-78665,225,63.964615
-10500,21,64.147285
-235,54,64.749199
-18870,64,65.449352
-3930,22,65.702225
-12785,69,66.261421
-30320,97,67.048786
-930,16,67.174147
-15775,77,67.794698
-26460,61,68.417756
-45455,100,69.218024
-13000,127,70.194126
-700,62,70.770125
-26315,90,71.506795
-2365,32,71.746879
-40190,143,73.112835
-1325,38,73.49872
-430,15,73.642931
-11150,93,74.484397
-485,4,74.534343
-40395,102,75.671996
-10985,25,75.914219
-13375,52,76.493913
-12500,25,76.771156
-9990,22,76.96558
-7495,16,77.090945
-25650,122,78.265188
-6365,40,78.615133
-21950,155,80.204649
-29395,80,81.000098
-17845,67,81.542173
-66490,236,83.402067
-39915,198,84.966256
-14740,82,85.627735
-10970,28,85.85907
-35040,163,87.13805
-4260,57,87.588003
-1980,8,87.650012
-33960,278,89.863808
-29815,222,91.645081
-1975,9,91.720763
-6695,75,92.332085
-52690,269,94.640002
-2240,57,95.086538
-74270,213,96.769117
-14135,102,97.580511
-11360,51,97.962174
-7380,39,98.267804
-8140,89,98.951764
-27025,251,100.916337
-12460,33,101.188654
-18600,118,102.13236
-35785,216,103.822216
-5805,51,104.237352
-11205,110,105.113274
-2910,24,105.303768
-30335,296,107.641905
-2500,106,108.477689
-11920,40,108.796176
-21330,178,110.201512
-9405,38,110.495468
-18865,65,111.005492
85,118,111.946989
-970,8,112.001793
-18560,126,112.99733
-350,31,113.243853
-31770,312,115.763443
-108410,336,118.39916
-128760,407,121.626891
-26995,156,122.849102
-12460,33,123.11305
-14495,30,123.356802
-1495,4,123.385023
-23470,53,123.807083
-33280,111,124.694187
-16700,94,125.462988
-7700,76,126.079286
-16975,140,127.179248
-3650,46,127.546172
-90,83,128.209291
-9995,21,128.377601
-13230,81,129.020464
-12850,56,129.462345
-12260,73,130.038751
-25665,119,131.002165
-19455,48,131.381676
-17125,110,132.259655
-2340,37,132.57158
-1855,33,132.83427
-8500,17,132.963749
-8470,23,133.138967
-10105,100,133.942099
-9700,80,134.550835
-6335,46,135.047589
-475,6,135.15459
-16130,70,135.857415
-25395,72,136.438474
-2865,33,136.700902
-2360,33,136.963136
-320,37,137.247586
-7335,48,137.625519
-13530,223,139.397004
-21155,213,141.081766
