#{"t_start": 1683583631.415723, "env_id": "gym_examples/GridWorld-v0"}
r,l,t
-15860,60,0.785043
-28885,81,1.666727
-98395,319,4.13513
-11910,42,4.480341
-41900,104,5.323005
-12285,68,5.870888
-14955,39,6.16995
-6870,40,6.551573
-12440,37,6.914329
-7855,45,7.370584
-25430,65,7.940304
-28675,224,10.176359
-33450,77,10.774524
-65555,322,13.377134
-8860,46,13.774532
-9440,31,14.082356
-14410,47,14.561648
-24320,85,15.324869
-35895,93,16.055895
-10020,117,17.00548
-360,29,17.240862
-19235,92,18.012926
-57515,314,21.24505
-80815,199,23.059221
-10985,25,23.341464
-21575,129,24.450086
-27950,66,24.9853
-9220,75,25.57389
-20965,49,25.956987
-8365,44,26.301877
-500,1,26.309405
-10105,100,27.09817
-10285,64,27.592929
-39380,108,28.434344
-40710,140,29.554112
-11440,35,29.828409
-34460,77,30.411625
-415,18,30.562974
-3995,9,30.637984
-5000,10,30.726756
-10495,22,30.896067
-18000,36,31.17856
-11840,56,31.619965
-13440,39,31.925773
-6975,19,32.07299
-18425,52,32.480487
-9460,27,32.702716
-7440,27,32.914567
-8500,17,33.048822
-9905,39,33.353612
-16355,62,33.84616
-8360,45,34.200381
-8200,77,34.815726
-1000,2,34.835294
-500,1,34.843553
-240,53,35.244747
-4415,26,35.449124
-16500,33,35.724503
-350,31,35.966574
-1000,2,35.984361
-10490,23,36.165543
-325,36,36.455595
-13000,26,36.664689
-9500,19,36.825542
-20905,61,37.2973
-47065,166,38.599279
-64045,433,42.187345
-21000,42,42.513326
-55240,264,45.16799
-70485,346,48.610518
-20855,71,49.210836
-21430,57,49.661078
-14005,128,50.987362
-40245,132,52.174277
-16890,56,52.638895
-24900,70,53.231699
-15835,65,53.768848
-2875,31,54.025765
-22150,115,55.182899
-975,7,55.247626
-50725,256,57.507168
-32485,68,58.111046
-8335,50,58.52783
-27255,104,59.743569
-22275,90,60.714516
-33780,112,61.732191
-19345,70,62.340214
-75655,221,64.231743
-14295,70,65.042936
-57110,193,66.761835
-820,38,67.082275
-75825,288,69.514802
-30610,241,71.509146
-12915,43,71.836053
-7990,18,71.992338
-2915,23,72.198797
-11365,50,72.680756
-13445,38,73.075279
-5910,30,73.400974
-8990,20,73.585944
-15915,49,74.051216
-12390,47,74.457798
-20750,92,75.512945
-6000,12,75.615319
-2000,4,75.66544
-1970,10,75.777051
-11750,74,76.564155
-13305,66,77.184992
-450,11,77.311747
-32080,149,78.686991
-12415,42,79.053978
-18900,58,79.625533
-13910,46,80.181962
-20000,40,80.601209
-14475,34,80.93869
-24975,358,83.765338
-33740,120,84.729429
-340,33,84.983087
-10445,32,85.248641
-21295,84,85.924752
-1180,67,86.454838
-16965,41,86.767265
-25150,222,88.538087
-11495,24,88.730034
-11870,151,89.920795
-38460,186,91.423322
-35895,396,94.753677
-17415,52,95.15608
-975,7,95.211858
-23495,48,95.580849
-14860,58,96.053097
-8455,26,96.26407
-17640,108,97.120418
-940,14,97.23107
-9445,30,97.470678
-8940,30,97.697988
-16340,65,98.198025
-7500,15,98.312958
-10000,20,98.457825
-2500,5,98.49219
-8870,44,98.836734
-1500,3,98.861444
-6285,56,99.297835
-9835,154,100.493432
-455,10,100.566305
-5500,11,100.656811
-15480,35,100.944663
-375,26,101.16097
-6920,30,101.39882
-9955,29,101.635782
