#{"t_start": 1683583631.410861, "env_id": "gym_examples/GridWorld-v0"}
r,l,t
-53250,157,1.794788
-16000,32,2.044485
-105805,352,4.792289
-22120,121,5.777141
-9135,92,6.564712
-27425,70,7.274368
-13430,41,7.625199
-11995,25,7.850714
-9500,19,8.043599
-5490,13,8.161304
-6000,12,8.264977
-22800,86,9.148184
-11485,26,9.410672
-9410,37,9.842543
-11920,40,10.171275
-5865,39,10.469487
-18925,53,10.874331
-33255,116,11.790715
-41265,130,12.850113
-18670,104,13.734908
-13635,101,14.72641
-60505,423,18.220855
-31470,170,20.114139
-9385,42,20.48615
-7000,14,20.594683
-26935,67,21.289704
-32590,148,22.672059
-8930,32,22.930133
-49905,119,24.019535
-11795,65,24.583534
-24405,68,25.125885
-43815,125,26.10792
-7965,23,26.291528
-11805,63,26.791921
-11325,58,27.240375
-31980,68,27.773973
-14420,45,28.118782
-19500,39,28.419294
-10455,30,28.662294
-930,16,28.78569
-5870,38,29.105015
-4925,25,29.299247
-995,3,29.323633
-610,80,29.948657
-225,56,30.370432
-14465,36,30.662872
-19830,74,31.255462
-10465,28,31.475408
-320,37,31.767601
-8490,19,31.915653
-5980,16,32.040668
-8500,17,32.171414
-10430,35,32.447331
-12000,24,32.641077
-2990,8,32.704588
-10900,42,33.034229
-3420,23,33.220892
-11865,51,33.618673
-9475,24,33.804184
-11890,46,34.170434
-8875,43,34.52254
-5000,10,34.598202
-16000,32,34.853508
-24815,87,35.522385
-1990,6,35.568845
-10255,70,36.137429
-4960,18,36.278402
-15355,60,36.764693
-5000,10,36.847806
-460,9,36.921512
-6500,13,37.023068
-15000,30,37.257598
-14290,71,37.807046
-61270,173,39.245026
-7000,14,39.355178
-70365,370,42.372402
-28345,88,43.066059
-10840,54,43.482515
-59495,120,44.941926
-38815,115,46.195146
-24290,91,47.1686
-220,57,47.721782
-345,32,47.97215
-8500,17,48.117064
-12305,64,48.692494
-14140,101,49.525609
-14805,69,50.134601
-8950,28,50.447932
-7500,15,50.622814
-47155,265,52.981627
-5985,15,53.125238
-3380,31,53.402269
-7000,14,53.504105
-990,4,53.534286
-54750,362,56.890398
-30660,130,58.008254
-25175,116,59.037673
-34175,235,61.567552
-38175,142,62.790476
-19860,68,63.373802
-30430,75,64.024344
-11500,23,64.220715
-32345,96,65.340576
-1965,11,65.429417
-14500,29,65.749785
-32825,101,66.553298
-22665,214,68.413681
-500,1,68.421403
-13380,253,70.427722
-16240,85,71.17613
-17985,39,71.494425
-2445,16,71.616055
-12230,79,72.289566
-13440,39,72.657107
-17315,72,73.419857
-16255,82,74.182573
-485,4,74.223447
-7910,34,74.522505
-7465,22,74.745328
-7765,63,75.499193
-7355,44,75.932197
-8980,22,76.177376
-10370,47,76.701818
-11955,33,77.000373
-8255,66,77.653867
-905,21,77.827932
-11945,35,78.165818
-8830,52,78.620075
-390,23,78.829865
-7325,50,79.292554
-14500,29,79.582056
-8900,38,79.994927
-5850,42,80.484658
-18955,47,80.954274
-8370,43,81.31082
-18465,44,81.656742
-51100,183,83.092066
-10270,36,83.377905
-4665,77,83.981748
-9080,99,84.777254
-32505,367,87.68579
-3275,52,88.088431
-15770,179,89.523959
-500,1,89.531053
-11840,56,89.980435
-73935,211,91.678791
-1000,2,91.693849
-10830,56,92.150926
-20475,248,94.300039
-14970,36,94.578271
-455,10,94.659833
-7000,14,94.770635
-16835,67,95.291455
-7465,22,95.462311
-8160,85,96.137455
-27240,107,96.993426
-10445,32,97.253245
-8365,44,97.593462
-18855,67,98.108676
-43720,144,99.213686
-31405,183,100.634167
-39590,263,102.745474
-14995,31,102.993962
-9340,152,104.176575
-11255,72,104.755564
-48730,311,107.224908
-135,74,107.807472
-10905,41,108.12882
-13425,42,108.458782
-10485,24,108.645128
-6905,33,108.913673
-13810,66,109.426796
-31660,132,110.465426
-4375,34,110.750591
-13480,31,110.982019
-14395,50,111.361413
-37455,280,113.583839
-63770,578,118.196773
-11000,22,118.367988
-38435,191,119.889301
-35445,183,121.326714
-35260,220,123.060859
-13435,40,123.38348
-1495,4,123.413827
-24280,93,124.167588
-1000,2,124.181278
-865,29,124.41124
-470,7,124.469177
-28475,62,124.953316
-23495,48,125.357189
-3470,13,125.461894
-48910,217,127.184281
-1765,51,127.592599
-955,11,127.679317
-11715,81,128.322625
-15865,59,128.802169
-7975,21,128.963208
-20285,84,129.627124
-19905,59,130.087748
-25425,66,130.614627
-895,23,130.809227
-27815,93,131.5542
-950,20,131.712095
-6085,96,132.48295
-8480,21,132.664581
-305,40,132.977307
-17455,44,133.322009
-37105,154,134.527151
-470,7,134.582844
-395,22,134.755933
-4760,58,135.487238
-13825,63,136.057872
-7745,67,136.596509
-3480,11,136.680671
-11925,39,136.990053
-27410,73,137.55841
-4380,33,137.823672
-6855,43,138.166604
-28705,117,139.093549
-29320,196,140.634858
-22335,179,142.087148
-13870,54,142.501431
-25985,55,142.933308
-10500,21,143.099591
-90085,466,146.911922
-23640,221,148.663822
-17055,124,149.631348
-965,110,150.502854
-6315,50,150.912889
-4915,27,151.117937
-995,3,151.15053
-420,17,151.282624
-10350,51,151.682483
-415,18,151.828214
-5835,45,152.182003
-5000,10,152.267315
-7500,15,152.388592
-4480,13,152.489727
-6990,16,152.620636
-5965,19,152.761272
-6965,21,152.939314
-9810,58,153.394926
-2995,7,153.456573
-5500,11,153.540559
-41440,297,156.021948
-15915,49,156.429584
-7460,23,156.610604
-73280,595,161.323353
-8965,25,161.519676
-5995,13,161.620699
-405,20,161.778868
-9985,23,161.964256
-7385,38,162.268256
-14450,39,162.565287
-21935,360,165.448321
-17985,39,165.760593
-17210,93,166.503958
-16265,230,168.322215
-7935,29,168.555072
-1935,17,168.693306
-13495,28,168.906927
-14500,29,169.136545
-930,16,169.26843
-370,27,169.486608
-24950,262,171.561803
-15295,72,172.132422
-14910,48,172.532075
-18970,44,172.875655
-10355,50,173.270928
-6495,14,173.386895
-6805,53,173.801333
-38075,162,175.095586
-4620,86,175.868215
-5500,11,175.950617
-18255,288,178.390131
-4215,66,178.923986
-10935,35,179.198046
-16780,78,179.828115
-20395,62,180.309372
-1850,34,180.594891
-38515,175,182.011477
-22140,117,182.946341
-8430,31,183.197133
-13110,105,184.021849
-33360,95,184.796036
-8495,18,184.944025
-2730,60,185.443243
-480,5,185.487302
-1880,28,185.72727
-9785,63,186.219534
-14250,79,186.84884
-7420,31,187.101277
-7000,14,187.214835
-2950,16,187.341512
-44505,189,189.01091
-355,32,189.258446
-10885,146,190.423561
-9410,37,190.723667
-875,27,190.936098
-16685,97,191.693686
-415,18,191.832214
-1925,19,191.98063
-9995,21,192.14406
-10160,89,192.84489
-84310,510,196.899838
-9205,179,198.329366
-21360,71,198.879584
-25455,60,199.360465
-9640,92,200.102214
-20415,58,200.595872
-335,34,200.879461
-960,10,200.960707
-2785,49,201.352311
-495,2,201.365459
-8895,39,201.675698
-10430,35,201.960763
-17630,110,202.830667
-12965,134,203.93696
-8500,17,204.068269
-6945,25,204.269763
-12665,93,205.015641
-18400,158,206.321717
-4905,29,206.590951
-7865,43,206.964377
-5000,10,207.04756
-34835,204,208.704265
-17830,171,210.044751
-325,36,210.334132
-390,23,210.521358
-23870,74,211.138271
-12730,80,211.766345
-37620,354,214.670589
-12935,39,214.990053
-12500,25,215.184637
-7450,23,215.369561
-2990,8,215.42363
-8360,45,215.799976
-10420,37,216.099501
-705,61,216.578922
-7955,25,216.783679
-380,25,216.987047
-2000,4,217.018612
-7050,105,217.867243
-19060,213,219.61029
-14360,57,220.052614
-7875,41,220.371775
-9985,23,220.541928
-6230,168,221.919152
-11820,60,222.410648
-7415,32,222.659775
-13500,27,222.881297
-7950,26,223.082927
-2885,29,223.317289
-7965,23,223.499506
-3500,7,223.555566
-8975,23,223.744759
-2835,39,224.067773
-8605,97,224.845606
-110,79,225.463853
-11305,62,225.962438
-1395,24,226.157737
-490,3,226.17701
-7165,82,226.837351
-14200,89,227.548225
-12375,50,227.94758
-1485,6,227.99667
-84760,420,231.324995
-57725,826,237.969666
-370,27,238.187965
-5235,64,238.686631
-18365,165,240.005981
-10750,193,241.622654
-1470,9,241.693801
-4620,86,242.377674
-440,13,242.478621
-5680,76,243.082719
-8370,43,243.4292
-6745,65,243.94696
-7700,76,244.542088
-5000,10,244.625458
-11905,43,244.973097
-435,14,245.08573
-1385,26,245.305083
-425,16,245.442253
-3500,7,245.500465
