#{"t_start": 1683583631.4120991, "env_id": "gym_examples/GridWorld-v0"}
r,l,t
-8450,27,129.401226
-10860,50,129.802755
-10190,83,130.456176
-1440,15,130.574602
-28230,212,132.277998
-9420,35,132.575921
-21945,55,133.006506
-20095,122,133.972753
-12280,69,134.502239
-1885,27,134.716201
-8315,54,135.403075
-4405,28,135.693406
-395,22,135.880965
-5775,57,136.34294
-35095,152,137.534158
-17395,157,138.788159
-100,81,139.425937
-45535,286,141.702327
-10890,44,142.061706
-27770,102,142.850121
-13500,27,143.065635
-7500,15,143.181706
-11170,91,143.909106
-1845,35,144.195569
-33315,104,145.059929
-19365,71,145.648573
-4000,8,145.722495
-9730,74,146.32568
-410,19,146.487522
-10370,47,146.854992
-13370,53,147.286989
-105445,519,151.39039
-5995,13,151.489006
-425,16,151.618548
-9920,36,151.904579
-9850,50,152.30403
-1000,2,152.317895
-5425,26,152.527932
-5955,122,153.503842
-17750,86,154.255554
-10755,71,154.802151
-20000,40,155.167837
-29565,147,156.376033
-60525,419,159.675085
-6455,22,159.84361
-480,5,159.888434
-5330,45,160.252915
-7445,26,160.45658
-2315,42,160.803294
-12735,79,161.422517
-18850,169,162.748063
-16815,71,163.307736
-36080,182,164.77815
-29180,123,165.766791
-120,77,166.384262
-10620,98,167.159688
-9475,24,167.359704
-10925,37,167.64522
-12955,35,167.925655
-2490,7,167.979524
-850,32,168.235623
-9380,43,168.572765
-12615,103,169.38733
-6560,102,170.205272
-4870,36,170.483346
-24815,197,172.045052
-2415,22,172.230621
-7360,43,172.573047
-6250,63,173.075353
-4910,28,173.298446
-380,25,173.497986
-7495,16,173.620776
-16240,85,174.306732
-69280,284,176.765569
-32070,151,177.990089
-13340,59,178.456804
-7275,60,178.94866
-13250,77,179.556642
-12920,108,180.422734
-10000,20,180.585531
-21255,92,181.341444
-9000,18,181.485578
-1365,30,181.723754
-7760,64,182.238177
-8885,41,182.578524
-8920,34,182.837695
-10490,23,183.020716
-10075,106,183.862986
-6950,24,184.054528
-16985,37,184.349651
-4785,53,184.782082
-8210,176,186.219604
-1885,27,186.436818
-8015,57,186.892931
-405,20,187.050678
-1450,13,187.155369
-33725,224,189.106134
-4810,48,189.477725
-7250,65,189.996936
-4660,78,190.618654
-51190,165,191.921194
-10040,113,192.808679
-11095,104,193.624273
-455,10,193.719129
-50055,291,196.02682
-22175,312,198.508362
-10355,50,198.897181
-5190,73,199.476594
-16040,125,200.510719
-32950,76,201.133927
-2755,55,201.568115
-900,22,201.755209
-6420,29,201.982714
-20660,211,203.690673
-70395,472,207.581655
-6500,13,207.682178
-865,29,207.906848
-9000,18,208.051862
-7965,23,208.266385
-12310,63,208.769039
-1485,6,208.824249
-13705,87,209.501642
-12445,36,209.786385
-10845,53,210.203506
-5970,18,210.349943
-14545,121,211.346359
-66905,394,214.557474
-13215,84,215.233852
-250,51,215.628452
-6245,64,216.15412
-30995,63,216.657206
-11885,47,217.037944
-9940,32,217.301663
-27090,137,218.389005
-1450,13,218.487716
-8125,96,219.31408
-23790,90,220.019831
-15640,205,221.663588
-325,36,221.955604
-5475,16,222.09134
-495,2,222.111695
-995,3,222.132933
-7920,32,222.388727
-425,16,222.521398
-485,4,222.552934
-7895,37,222.850283
-7970,22,223.017365
-7485,18,223.162556
-6480,17,223.299
-955,11,223.391526
-910,20,223.547399
-1965,11,223.639111
-4915,27,223.855407
-395,22,224.042019
-500,1,224.050066
-415,18,224.193666
-8245,155,225.419251
-960,10,225.501512
-15445,42,225.847035
-6440,25,226.045526
-7470,21,226.213013
-6395,34,226.482375
-2995,7,226.540309
-116305,435,230.009631
-19205,98,230.783153
-1620,80,231.411004
-480,5,231.45326
-17680,312,233.932808
-20480,146,235.122494
-10215,179,236.571908
-10020,117,237.536733
-25940,165,238.83196
-6470,19,238.986205
-15000,30,239.233407
-1790,46,239.59875
-410,19,239.750202
-10985,25,239.944715
-61935,137,241.074323
-470,7,241.132598
-12225,80,241.806877
-14470,35,242.076523
-32930,80,242.711958
-14305,68,243.260026
-805,41,243.584014
-1465,10,243.669373
-5815,49,244.058137
-33000,66,244.573203
-7450,25,244.775029
-10500,21,244.946826
-9370,45,245.31814
-12115,102,246.307103
-6465,20,246.473887
-11360,51,246.868767
-82420,484,250.873778
-18305,177,252.38024
-1985,7,252.439078
-14265,76,253.046106
-9405,38,253.356933
-11665,91,254.088073
-18460,45,254.443103
-14205,290,256.820896
-6215,70,257.403251
-11500,23,257.5821
-7485,18,257.730541
-14410,47,258.10026
-11540,116,259.023874
-27500,55,259.454666
-19935,154,260.997393
-15025,126,262.049649
-7895,37,262.381154
-8255,66,262.947377
-11490,25,263.14215
-9905,241,265.071344
-90,83,265.738186
-12405,44,266.089366
-5000,10,266.170691
-21910,264,268.301488
-12435,38,268.609913
-1145,74,269.188361
-500,1,269.195632
-8960,26,269.400621
-23260,297,271.787827
-13835,162,273.064362
-19355,68,273.627595
-12775,71,274.205454
-4330,43,274.537858
-8665,85,275.203757
-24255,199,276.811168
-5405,30,277.051805
-22605,125,278.049952
-9295,60,278.534928
-8840,50,278.929997
-7185,78,279.559261
-11890,46,279.923895
-13000,26,280.135078
-10915,39,280.444049
-21915,61,280.935604
-6070,301,283.337417
-225,56,283.791801
-7025,110,284.673699
-40410,99,285.456436
-6390,35,285.748918
-7170,182,287.225646
-18170,103,288.048413
-13780,72,288.615431
-5605,91,289.345823
-17405,155,290.590537
-25990,54,291.028718
-9090,101,291.820186
-9950,30,292.056793
-12110,103,292.874631
-16420,49,293.260109
-1500,3,293.284592
-1770,50,293.679759
-6345,44,294.033561
-5480,116,294.959429
-13000,26,295.194516
-8970,24,295.388788
-11445,34,295.676888
-8690,80,296.338954
-15390,154,297.572876
-34975,75,298.185769
-1575,89,298.909358
-5095,92,299.662915
-36140,145,301.229051
-7000,14,301.374255
-85,84,302.201847
-3485,10,302.293635
-9995,21,302.485961
-395,22,302.841545
-7770,62,303.479992
-4615,188,305.123496
-21000,42,305.499351
-15875,158,307.829718
-13485,30,308.183659
-9400,39,308.530923
-6980,119,309.516737
-9000,18,309.653315
-13795,69,310.195856
-1000,2,310.209639
-8905,37,310.491288
-49225,297,313.096006
-1565,91,313.790324
-500,1,313.797183
-9265,66,314.321685
-185,64,314.79925
-15520,128,315.798893
-14910,48,316.167147
-35570,336,318.731702
-28650,229,320.496033
-6495,14,320.598089
-6350,43,320.93465
-15605,111,321.767347
-6955,23,321.939878
-14790,375,324.806085
-8795,59,325.266316
-365,28,325.477691
-440,13,325.580774
-500,1,325.587904
-14810,68,326.124856
-7920,32,326.369533
-12490,27,326.572353
-8000,16,326.694573
-6470,19,326.834182
-12380,49,327.206793
-12480,29,327.427288
-8970,24,327.607116
-13315,64,328.098061
-5390,33,328.343778
-4630,84,328.997835
-22000,44,329.329246
-400,21,329.489674
-6105,92,330.181284
-8000,16,330.306613
-1480,7,330.360774
-39210,137,331.403012
-7375,40,331.710353
-6500,13,331.81033
-2355,34,332.081323
-7900,36,332.359607
-1430,17,332.494202
-8490,19,332.636527
-8570,104,333.455335
-16210,192,334.89985
-18770,182,336.301543
-17975,41,336.598351
-9555,109,337.432936
-5820,149,338.563715
-6440,126,339.617022
-13495,28,340.404873
-111875,554,344.886993
-385,24,345.076095
-5450,21,345.237625
-10995,23,345.417548
-8760,66,345.941052
-12475,30,346.176534
-9410,37,346.454961
-6000,12,346.553076
-2000,4,346.583443
-7875,41,346.897149
-440,13,346.994587
-5630,86,347.691651
-12395,46,348.046863
-5905,31,348.294274
-970,8,348.353747
-3500,7,348.40548
-6980,18,348.550635
-38540,267,350.66102
-9935,33,350.931409
-7020,111,351.803353
-6405,32,352.05892
-5500,11,352.144891
-10500,21,352.314219
-15500,31,352.550877
-5420,27,352.76523
-1000,2,352.788071
-685,65,353.298234
-9885,144,354.493929
-380,25,354.689461
-8405,36,354.965788
-14360,57,355.404384
-10000,20,355.560257
-31965,172,356.888187
-7600,96,357.61396
-385,24,357.790092
-12405,44,358.137719
-7985,19,358.283438
-15490,33,358.538926
-10780,66,359.041938
-6055,203,360.614288
-915,19,360.775268
-17165,102,361.581364
-930,16,361.705394
-6365,40,362.008352
-2985,9,362.080304
-485,4,362.107398
-10765,69,362.653892
-16785,77,363.23577
-17910,54,363.656797
-11500,23,363.839224
-480,5,363.876265
-10235,74,364.46782
-12425,40,364.785755
-2140,77,365.373189
-9615,97,366.151058
-490,3,366.170823
-33265,114,367.038469
-15315,68,367.559653
-11840,56,367.990224
-14400,49,368.360657
-5850,42,368.678812
-440,13,368.780937
-1880,28,368.997677
-5500,11,369.082584
-430,15,369.201298
-480,5,369.238096
-5475,16,369.367854
-1000,2,369.382105
-4500,9,369.446958
-5990,14,369.553292
-7455,24,369.731437
-4950,20,369.886755
-4000,8,369.952315
-8500,17,370.078523
-1900,24,370.268281
-445,12,370.365033
-8490,19,370.502373
-1835,37,370.800618
-9765,67,371.315867
-8420,33,371.583714
-13370,53,371.97936
-8800,159,373.154357
-9310,57,373.585332
-7010,113,374.459923
-5480,15,374.584896
-5975,17,374.71577
-5415,28,374.924913
-5985,15,375.037897
-8820,256,377.046724
-34160,137,378.075096
-22740,98,378.793639
-485,4,378.828035
-15975,37,379.112722
-18400,57,379.543878
-23765,95,380.274881
-6000,12,380.364044
-4915,27,380.569034
-16885,57,381.007642
-12475,30,381.24065
-45385,215,382.873997
-44130,425,386.135864
-10500,21,386.304249
-840,34,386.641232
-11360,51,387.027866
-975,7,387.083176
-5990,14,387.190963
-5500,11,387.27433
-5965,19,387.416724
-9440,31,387.652434
-220,57,388.081925
-46265,140,389.145909
-22855,75,389.71074
-41030,177,391.064097
-30480,65,391.540553
-8365,44,391.872883
-8820,54,392.285045
-9460,27,392.490578
-5890,34,392.82976
-2480,9,392.915472
-4500,9,392.992656
-5425,26,393.263526
-1945,15,393.454284
-5485,14,393.609874
-7215,72,394.347021
-4940,22,394.593918
-5000,10,394.697182
-6910,32,395.026217
-2995,7,395.10374
-5445,22,395.332607
-12990,28,395.56485
-6940,26,395.791976
-2465,12,395.87955
-9315,56,396.307817
-1200,63,396.830975
-5440,23,397.06732
-5500,11,397.176661
-6475,18,397.349734
-44430,305,400.239855
-5905,31,400.520828
-6895,35,400.823672
-6375,38,401.169991
-2395,26,401.404439
-13340,59,401.955542
-11335,189,403.67722
-1395,24,403.874701
-140950,494,408.053999
-7930,30,408.311918
-4370,35,408.593363
-4445,20,408.75456
-10480,25,408.950307
-500,1,408.957967
-6455,22,409.123343
-4975,15,409.236039
-460,9,409.318612
-39585,267,411.568356
-2485,8,411.630207
-5930,26,411.827742
-10905,41,412.140015
-5500,11,412.230958
-2380,130,413.213926
-915,120,414.136251
-6930,28,414.416835
-9500,19,414.561712
-14925,146,415.74006
-990,4,415.783921
-74150,219,417.557242
-10730,177,418.906149
-6935,128,419.972166
-305,40,420.341568
-13135,100,421.185487
-475,6,421.233345
-6395,34,421.509303
-6000,12,421.606059
-8275,163,422.927313
-8490,44,423.255255
-35790,114,424.10237
-4500,9,424.174626
-6500,13,424.278823
-6285,157,425.501288
-8815,55,425.959667
-5460,19,426.103794
-2790,48,426.477107
-440,13,426.572421
-6995,15,426.683935
-11000,22,426.848697
-5380,136,427.90018
-5410,29,428.11687
-4300,49,428.484633
-1460,11,428.574001
-12410,43,428.89215
-6985,17,429.022739
-8870,44,429.361032
-6465,20,429.517523
-6615,91,430.315075
-6385,36,430.617192
-12925,41,430.99077
-12500,25,431.175865
-24480,53,431.575517
-11945,35,431.839364
-490,3,431.864574
-995,3,431.888048
-1155,72,432.434627
-430,15,432.570605
-12975,31,432.869362
-4395,30,433.152928
-6975,19,433.315475
-18390,160,434.526603
-6965,122,435.567824
-5495,12,435.668296
-1370,29,435.902479
-15680,96,436.650659
-9830,155,437.842104
-7500,15,437.957315
-1375,28,438.175641
-9250,271,440.236588
-4975,116,441.148218
-28380,81,441.861651
-4580,94,442.620036
-5930,26,442.821252
-9480,23,442.993871
-9955,29,443.253897
-460,9,443.329246
-6410,31,443.640467
-5000,10,443.733665
-8500,17,443.890408
-490,3,443.920062
-5280,55,444.427735
415,184,446.122408
-23000,46,446.556759
-5725,67,447.18151
-23290,89,447.929831
-370,27,448.160888
-960,10,448.250297
-6665,19,448.425191
-11500,23,448.638472
-16780,78,449.303152
-33475,577,454.272976
-4000,8,454.32931
-5910,30,454.593006
-10435,36,454.912848
-900,22,455.123721
-7435,28,455.362333
-500,1,455.373565
-2455,14,455.478268
-4500,9,455.551477
-4000,8,455.626524
-485,4,455.66688
-415,18,455.833204
-4995,11,455.933448
-7505,115,456.952917
-7845,47,457.313117
-470,7,457.372233
-11975,29,457.73629
-2425,20,457.907234
-5000,10,457.99798
-11420,39,458.349926
-6895,35,458.644469
-5500,11,458.72974
-6985,17,458.859053
-440,13,458.964153
-9430,33,459.237535
-11395,44,459.60934
-18190,99,460.474367
-6470,19,460.622512
-10695,83,461.269474
-12500,126,462.247962
-7470,21,462.408459
-9290,61,462.867992
-15,98,463.616793
-6925,29,463.83785
-7000,14,463.942612
-20245,193,465.440414
-11500,23,465.630652
-6920,30,465.871627
-10865,49,466.242036
-9500,19,466.388015
-470,7,466.440218
-4500,9,466.510027
-740,54,467.013129
-4485,12,467.10374
-12830,37,467.380685
-10870,48,467.748362
-31910,136,468.789988
-500,1,468.796824
-2980,10,468.8762
-4965,17,469.014623
-5500,11,469.099679
-7000,14,469.205934
-11900,44,469.547926
-10865,49,469.913775
-2255,54,470.322
-5625,87,470.985879
-500,1,470.992739
-17440,47,471.347445
-7945,27,471.546954
-2980,10,471.62658
-6440,25,471.810184
-10500,21,471.974005
-6475,18,472.113753
-12830,60,472.573651
-11390,45,472.907422
-9495,20,473.061783
-8985,21,473.219119
-245,52,473.631896
-4500,9,473.704765
-7585,99,474.62763
-10570,108,475.809921
-10465,28,476.192644
-405,20,476.34683
-71225,198,477.880047
-9585,103,478.667935
-9810,159,479.874348
-12905,45,480.205515
-8835,51,480.595419
-11405,42,480.954324
-36405,215,482.762724
-12765,73,483.315286
-15850,62,483.783356
-5500,11,483.869664
-9345,50,484.250062
-7500,15,484.365043
-5450,21,484.533024
-2480,9,484.607393
-5900,32,484.852258
-25670,421,488.123702
-11930,38,488.404887
-13970,34,488.664749
-4500,9,488.730318
-6570,100,489.49382
-5350,41,489.8117
-7885,39,490.112689
-6490,15,490.226868
-4395,30,490.448035
-4500,9,490.518899
-6305,52,490.91952
-8500,17,491.054431
-11385,46,491.398268
-900,22,491.556863
-7925,31,491.791442
-28785,303,494.321896
-13995,29,494.587431
-7985,19,494.766934
-7990,18,494.908568
-950,12,495.030513
-8320,53,495.480163
-465,8,495.541071
-995,3,495.560666
-11490,25,495.78133
-5965,19,495.947561
-4500,9,496.030935
-13890,50,496.603163
-10945,33,496.923699
-11940,137,498.098768
-375,26,498.335467
-25420,168,499.889121
-18335,171,501.458386
-975,7,501.512914
-1840,36,501.793393
-18580,110,502.740769
-5895,33,502.98926
-5445,22,503.168197
-10490,64,503.751629
-12910,44,504.165085
-4260,57,504.685823
-1000,2,504.702247
-4960,18,504.868624
-5980,16,505.016107
-5000,10,505.114571
-5925,27,505.367107
-18985,41,505.742796
-480,5,505.785775
-2480,9,505.864644
-1430,17,506.027044
-9390,41,506.424667
-4500,9,506.510063
-4985,13,506.63072
-2435,18,506.801065
-6500,13,506.918156
-6910,32,507.216461
-8500,17,507.34337
-5330,45,507.687388
-2465,12,507.780634
-475,6,507.823577
-9305,58,508.340288
-1905,23,508.557465
-9830,54,509.049696
-8405,137,510.284388
-10000,20,510.465125
-7430,29,510.743078
-4000,8,510.825766
-10755,45,511.245361
-4910,28,511.501925
-4955,19,511.682476
-6855,43,512.103641
-460,9,512.18144
-6495,14,512.314608
-7980,20,512.49642
-6430,27,512.751158
-6450,23,512.963519
-4500,9,513.047199
-5325,46,513.41009
-8985,21,513.567701
-970,8,513.632751
-3500,7,513.683806
-460,9,513.75521
-5990,14,513.864475
-485,4,513.897174
-6360,41,514.227341
-4500,9,514.297638
-1995,5,514.337407
-10850,153,515.686251
-11500,23,515.878065
-475,6,515.928051
-5000,10,516.00653
-8955,27,516.207204
-4960,18,516.34408
-4000,8,516.402333
-5985,15,516.513648
-165,68,517.028042
-9470,25,517.219732
-6985,17,517.350586
-12435,38,517.633001
-4455,18,517.780981
-455,10,517.86493
-500,1,517.871757
-4940,22,518.042826
-6375,38,518.329227
-5455,20,518.476403
-8305,56,518.908741
-22980,50,519.323202
-4825,45,519.668213
-500,1,519.678681
-11945,35,519.954325
-1445,14,520.064907
-8475,22,520.272181
-2895,27,520.512288
-4985,13,520.628692
-19870,167,522.132974
-6375,38,522.484667
-26455,163,523.799556
-26470,516,527.754396
-28860,86,528.518018
-2325,40,528.829758
-4910,129,530.148271
-5995,13,530.260285
-10415,38,530.587016
-1460,11,530.673178
-11920,40,530.992153
-6695,176,532.33649
-11780,68,532.86945
-15400,51,533.257861
-12640,98,534.002721
-11810,62,534.709648
-7930,30,534.992683
-28190,179,536.598508
-1475,8,536.662951
-12010,123,537.619063
-7960,24,537.828782
-10885,45,538.249141
-12660,94,538.984099
-14905,49,539.442819
-18420,53,539.93291
-4920,26,540.13382
-4410,27,540.389826
-10000,20,540.571733
-8240,69,541.340458
-410,19,541.502237
-28795,200,543.283913
-10275,66,543.892269
-950,12,543.991372
-925,17,544.123363
-2500,5,544.160131
-460,9,544.233187
-5475,16,544.354451
-26385,76,544.936508
-1000,2,544.953236
-1920,20,545.108482
-7455,24,545.298294
-5395,32,545.538787
-8225,72,546.232104
-6870,40,546.729577
-6495,14,546.901345
-11425,38,547.23799
-4805,49,547.65651
-420,17,547.822545
-72500,246,550.271377
-9500,19,550.446861
-7955,25,550.654405
-13345,58,551.128472
-52765,153,552.388794
-5735,65,552.893018
-5000,10,552.978443
-9500,19,553.136499
-18975,111,554.077437
-12860,54,554.544311
-7340,47,554.930519
-64235,283,557.450794
-17240,87,558.276031
-1500,3,558.30489
-54305,249,560.404875
-1385,26,560.616156
-1440,15,560.7729
-1445,14,560.908806
-20885,65,561.520633
-7175,80,562.254373
-4500,9,562.341351
-785,45,562.751393
-11100,103,563.68771
-13725,184,565.310383
-10920,38,565.682524
-1485,6,565.742452
-20820,280,568.045725
-5345,42,568.368814
-460,9,568.440692
-1440,15,568.580262
-4465,16,568.704275
-5420,27,568.958273
-7500,15,569.10185
-20205,100,570.029246
-495,2,570.050168
-16735,87,570.751358
-5430,25,570.942709
-445,12,571.038137
-435,14,571.148725
-7440,27,571.352196
-11970,30,571.584213
-475,6,571.62802
-8680,183,573.032292
-4500,9,573.103026
-5465,18,573.233456
-1415,20,573.389534
-7960,24,573.578878
-4980,14,573.690825
-435,14,573.808225
-8020,29,574.080696
-7485,18,574.244567
-12485,28,574.499424
-2475,10,574.58568
-12495,26,574.828957
-2360,33,575.141577
-445,12,575.278822
-5500,11,575.384451
-4000,8,575.45226
-5445,22,575.653964
-9425,34,575.965765
-7295,56,576.42924
-1420,19,576.596155
-5925,27,576.814676
-3500,7,576.876474
-5465,18,577.025398
-500,1,577.033648
-385,24,577.238746
-11685,42,577.566694
-25965,59,578.038919
-19935,53,578.49318
-10895,43,578.844646
-18730,92,579.61319
-3500,7,579.660271
-1450,13,579.761135
-23975,154,581.207541
-28790,237,583.019164
-960,10,583.113907
-5000,10,583.19287
-80640,234,584.990087
-14045,524,589.140806
-6105,92,589.839683
-13300,67,590.357491
-8500,17,590.481713
-100,81,591.146409
-45745,244,593.203583
-200,61,593.667794
-435,14,593.778759
-5500,11,593.862816
-300,41,594.194078
-900,22,594.42821
-4980,14,594.534378
-6960,22,594.698573
-9995,21,594.854245
-2895,27,595.068691
-16450,43,595.401103
-5410,29,595.6219
-5405,131,596.639768
-4940,22,596.823112
-1940,16,596.96958
-5435,24,597.192095
-8000,16,597.341774
-9310,57,597.884286
-14875,55,598.397895
-5335,44,598.877851
-10895,43,599.208882
-12350,55,599.621367
-15965,39,599.905026
-9850,44,600.312847
-8970,24,600.528085
-1990,6,600.583443
-5935,25,600.794229
-7950,26,601.011677
-9500,19,601.170086
-5435,24,601.396689
-11425,38,601.746566
-7495,16,601.891466
-4000,8,601.964739
-4475,14,602.089327
-1665,9,602.158557
-6495,14,602.289029
-11975,66,602.948702
-9410,37,603.276215
-5000,10,603.362174
-5480,15,603.491026
-455,10,603.576301
-7330,49,603.992862
-430,15,604.162924
-7345,46,604.604351
-11790,66,605.306717
-7500,116,606.414623
-500,1,606.423373
-1925,19,606.60135
-9970,26,606.844429
-8320,161,608.340629
-12590,108,609.246389
-61875,292,611.813052
-925,17,611.955505
-920,18,612.092947
-6315,50,612.50429
-16485,339,615.732824
-1420,19,615.91087
-5245,62,616.491276
-4945,21,616.663632
-5970,18,616.837449
-7975,21,617.054376
-6410,31,617.348155
-6945,25,617.579389
-6195,74,618.195331
-7985,19,618.354048
-6855,43,618.753927
-2980,10,618.849187
-4970,16,619.001418
-5475,16,619.171946
-7500,15,619.294311
-5465,18,619.487585
-1000,2,619.521028
-5735,65,620.16992
-7905,35,620.499951
-990,4,620.535754
-5000,10,620.628359
-6170,79,621.38438
-4885,33,621.704528
-9420,35,622.026625
-4915,27,622.258244
-19900,60,622.754368
-12815,63,623.285685
-46695,256,625.549974
-18650,209,627.423771
-1470,9,627.511694
-490,3,627.539158
-1000,2,627.555671
-5500,11,627.657131
-5925,27,627.917745
-9855,27,628.192036
-5655,81,628.91738
-475,6,628.964191
-4925,25,629.210212
-485,4,629.253316
-5490,13,629.376733
-4945,21,629.54666
-34075,373,632.928377
-48300,137,634.155822
-2420,21,634.344619
-13640,37,634.673606
-10730,61,635.192009
-13280,374,638.381364
-11405,42,638.746073
-25500,51,639.170548
-17790,78,639.776076
-8500,17,639.903026
-4955,19,640.053468
-9500,19,640.195313
-5500,11,640.280083
-14875,55,640.697611
-6410,31,640.947786
-6995,15,641.061273
-7400,35,641.334112
-1490,5,641.384195
-995,3,641.412943
-7450,25,641.639457
-11970,30,641.913661
-6420,29,642.17584
-8480,21,642.36914
-495,2,642.386608
-5450,21,642.605918
-5485,14,642.710838
-5940,24,642.895957
-10480,25,643.118763
-1350,33,643.472123
-3985,11,643.578435
-6820,50,643.969109
-6400,33,644.265506
-3925,23,644.482174
-17025,231,646.514165
-7465,42,646.898417
-5000,10,646.984894
-6495,14,647.112678
-10945,33,647.412007
-21210,101,648.235042
-6435,26,648.461995
-8425,32,648.711524
-13795,69,649.283646
-16570,120,650.363218
-9415,137,651.565488
-4845,41,651.891566
-37355,306,654.6857
-23000,46,655.117778
-24455,159,656.483914
-19305,78,657.171697
-4000,8,657.242436
-10430,35,657.560472
-6450,23,657.766855
-16495,34,658.028129
-13160,95,658.86181
-2495,6,658.916649
-8485,20,659.100449
-10000,20,659.28558
-7970,22,659.4794
-6835,47,659.907307
-5500,11,660.007277
-495,2,660.035821
-7000,14,660.160524
-14695,68,660.763058
-5995,13,660.894538
-905,21,661.087532
-4340,41,661.472742
-1930,18,661.641777
-12375,50,662.086021
-465,8,662.183896
-6870,40,662.570763
-8895,39,662.931968
-8285,60,663.42951
-7390,37,663.759902
-7800,56,664.248349
-5910,30,664.511878
-6745,65,665.092353
-18785,81,665.843217
-19955,49,666.286642
-7395,36,666.601431
-4990,12,666.686509
-11070,109,667.6014
-1445,14,667.731193
-17380,160,669.352463
-1475,8,669.424662
-8855,47,669.817841
-915,19,669.966146
-7740,68,670.485265
-9960,28,670.69709
-8000,16,670.835215
-1425,18,670.974689
-5950,22,671.137113
-370,27,671.354366
-6245,64,671.853896
-12395,46,672.206182
-33090,149,673.38997
-10000,20,673.557488
-440,13,673.6601
-10380,45,674.008933
-9000,18,674.142435
-7430,29,674.391216
-490,3,674.423247
-10985,25,674.643346
-7500,15,674.779543
-345,32,675.039902
-4480,13,675.13744
-3870,34,675.40354
-3435,20,675.554721
-16000,32,675.814283
-16625,109,676.649098
-17855,65,677.14277
-11835,57,677.588064
-6450,23,677.786052
-10880,46,678.1529
-5465,18,678.296108
-460,9,678.392475
-11420,39,678.728937
