#{"t_start": 1683583631.4120991, "env_id": "gym_examples/GridWorld-v0"}
r,l,t
-20050,131,1.593405
-37020,171,2.907174
-26490,156,4.124208
-16875,59,4.598722
-26030,147,5.797114
-16375,58,6.247648
-11875,49,6.746562
-16195,94,7.625203
-73300,187,9.542315
-11940,36,9.882394
-8490,19,10.045365
-18000,36,10.322986
-10415,38,10.617407
-26400,174,11.961568
-19635,113,12.913479
-7380,39,13.245802
-26380,77,13.92061
-9925,35,14.297254
-10990,24,14.530276
-8285,60,15.083771
-18900,159,16.351282
-54445,210,18.091049
-59100,240,20.567397
-975,7,20.635387
-18380,61,21.269553
-21920,60,21.846617
-22905,65,22.437817
-134995,775,28.774428
-10980,26,29.001672
-12000,24,29.189507
-13910,46,29.549252
-7390,37,29.838312
-19335,72,30.383454
-4945,21,30.552926
-1790,46,30.931231
-7370,41,31.255368
-13840,60,31.725008
-13475,32,31.969437
-9485,22,32.150194
-1400,23,32.329186
-4880,34,32.590691
-485,4,32.625375
-13410,36,32.916211
-12350,55,33.34772
-6455,22,33.526055
-11940,36,33.804038
-6285,56,34.244147
-11955,33,34.522448
-395,22,34.686621
-10850,52,35.098085
-14780,74,35.677163
-15500,31,35.932086
-16465,40,36.247626
-8245,68,36.802858
-19450,150,37.965629
100,121,39.00724
-9350,49,39.390811
-57135,288,41.775511
-61685,389,45.516063
-16000,133,46.874648
-17240,87,47.766002
-18500,37,48.062452
-21970,151,49.364272
-95725,348,52.590379
-25335,84,53.299937
-375,26,53.514525
-11345,54,53.945907
-455,10,54.041904
-12000,24,54.398095
-20500,41,54.750092
-44200,149,56.168094
-25570,138,57.311821
-370,27,57.546555
-15685,196,59.316349
-24680,164,61.130729
-8840,50,61.638499
-29725,115,62.640887
-11195,84,63.340086
-25200,111,64.306492
-9755,69,65.12702
-2200,65,65.79822
-290,43,66.135522
-81990,166,67.464913
-16975,39,67.798968
-450,11,67.895906
-8240,69,68.594759
-64580,315,71.144158
-20685,105,71.985963
-5335,44,72.379626
-8355,46,72.873003
-405,20,73.057942
-390,23,73.318719
-8000,16,73.468373
-1930,18,73.631427
-11490,25,73.872782
-10965,29,74.142949
-34345,100,75.210689
-27635,129,76.563628
-9000,18,76.766558
-24960,159,78.25357
-17420,64,78.820823
-16335,66,79.455261
-26305,92,80.462568
-7980,20,80.702247
-11395,44,81.078745
-19775,85,81.757017
-9505,119,82.696765
-12100,105,83.521213
-12970,133,84.592435
-49735,254,86.59665
-17500,35,86.871253
-345,32,87.12954
-12330,59,87.592365
-149285,631,92.649042
-14460,138,93.916237
-23070,136,94.994388
-16970,40,95.30195
-12165,92,96.024723
-18500,37,96.324009
-455,10,96.408277
-19400,59,96.870451
-9240,71,97.434108
-12485,28,97.650802
-470,7,97.706897
-16480,37,97.990717
-27900,76,98.568561
-16295,74,99.139048
-10455,30,99.371449
-17900,157,100.595621
-8975,23,100.783327
-1870,30,101.037214
-60185,184,102.504161
-15690,94,103.246558
-31210,121,104.194978
-11960,32,104.445686
-500,1,104.453015
-14945,41,104.775208
-2000,4,104.806223
-48785,242,106.737722
-1395,24,106.930908
-500,1,106.942457
-25295,141,108.034798
-6410,31,108.284024
-1000,2,108.296961
-15465,38,108.600756
-17285,78,109.219484
-26210,158,110.45781
-400,21,110.626017
-29065,146,111.779869
-14350,59,112.251632
-14785,174,113.612509
-42400,118,114.593318
-12885,49,114.987542
-62125,200,116.578286
-11160,91,117.277819
-27660,198,118.831986
-490,3,118.855748
-10330,55,119.290864
-1500,3,119.319896
-500,1,119.32884
-410,19,119.483221
-3570,94,120.239483
-38355,308,122.660141
-163305,713,128.357598
-330,35,128.640735
-13455,36,128.922909
-465,8,128.982197
-7950,26,129.191794
