#{"t_start": 1683583631.414525, "env_id": "gym_examples/GridWorld-v0"}
r,l,t
-113765,275,2.703575
-34970,76,3.275137
-14000,28,3.490988
-13385,50,3.888979
-13820,64,4.406848
-13000,26,4.616427
-20695,103,5.445447
-8420,33,5.718858
-14445,40,6.033771
-22960,54,6.499891
-6590,24,6.767427
-5420,27,7.003193
-32295,106,8.015218
-28590,140,9.409847
-500,1,9.419021
-24710,108,10.412925
-15780,76,10.993042
-19825,75,11.599502
-10455,30,11.825601
-410,19,11.961322
-26960,62,12.463048
-5445,22,12.66065
-11980,28,12.903292
-5800,52,13.344279
-8925,33,13.60154
-7435,28,13.881762
-5500,11,13.996033
-24870,76,14.732237
-10780,66,15.333187
-33165,134,16.394419
-15990,34,16.677398
-8460,25,16.873136
-21500,43,17.222965
-68460,347,20.604744
-36245,144,22.026477
-8945,29,22.264184
-13310,65,22.861844
-13165,94,23.724931
-32315,123,24.78643
-9995,21,24.951481
-12955,35,25.231549
-12865,53,25.643269
-44595,171,26.994361
-34500,69,27.528219
-1375,129,28.530775
-72840,178,29.947104
-17930,50,30.318556
-500,1,30.325573
-10435,34,30.603522
-9400,39,30.922904
-17410,53,31.340198
-6895,35,31.612431
-9955,29,31.838988
-13810,66,32.358572
-6495,14,32.468507
-19335,72,33.038821
-3330,41,33.36503
-9460,27,33.574462
-7390,37,33.867513
-3280,51,34.265961
-6000,12,34.36112
-470,7,34.418269
-14450,39,34.734628
-8995,19,34.888535
-11770,70,35.426757
-4365,36,35.724437
-13915,52,36.136817
-11375,48,36.515383
-475,6,36.568338
-6935,27,36.793752
-16745,85,37.456717
-3765,156,38.765009
-49585,284,40.994858
-12305,40,41.42916
-29675,112,42.289722
-29405,78,42.914023
-33745,119,43.921109
-26945,65,44.828957
-23490,49,45.39159
-25475,56,45.964775
-6010,50,46.564073
-11285,66,47.208011
-350,31,47.536706
-5170,41,47.87181
-365,28,48.106204
-800,42,48.494213
-7915,33,48.775552
-500,1,48.783424
-14225,84,49.471423
-14230,83,50.215275
-6665,81,51.087769
-25475,56,51.625511
-690,3,51.645798
-13610,106,52.542981
-17200,95,53.361549
-4840,42,53.693088
-13500,27,53.908407
