#{"t_start": 1683583631.421115, "env_id": "gym_examples/GridWorld-v0"}
r,l,t
-22375,70,0.862456
-5645,83,1.751602
-16300,73,2.329614
-111920,341,5.015166
-18220,93,5.752391
-9985,23,5.939539
-15185,94,6.801283
-22345,76,7.519343
-8360,45,7.917294
-9460,27,8.183094
-55500,111,9.307575
-20350,65,9.987098
-17330,69,10.525481
-12500,25,10.726502
-23960,56,11.170736
-8845,49,11.544718
-7930,30,11.769695
-16495,34,12.028871
-47400,216,13.878419
-7945,27,14.147545
-21405,62,14.746012
-29120,135,15.881684
-9615,198,17.498545
-12770,72,18.098572
-32605,145,19.715205
-26945,65,20.340285
-67050,528,25.105698
-17000,34,25.382627
-9500,19,25.517924
-10000,20,25.689331
-18165,104,26.492843
-40300,297,28.818181
-2980,10,28.906865
-27900,76,29.513712
-39980,84,30.158985
-15355,60,30.63527
-11340,55,31.075693
-295,42,31.40038
-10325,56,31.842752
-8500,17,31.979216
-7910,34,32.246003
-15785,75,32.831666
-895,23,33.020635
-8485,20,33.180684
-18650,108,34.023775
-20965,49,34.415252
-14475,34,34.687492
-5980,16,34.820293
-24455,58,35.26962
-7815,53,35.696929
-7905,35,35.97373
-15435,44,36.313009
-13195,88,37.032775
-10330,55,37.459525
-24105,96,38.211017
-41985,87,38.981491
-99980,498,43.002696
-19095,120,44.035326
-89330,314,47.62063
-445,12,47.723668
-12000,24,47.912617
-9405,38,48.243131
-8350,47,48.660294
-2300,45,49.037883
-11465,131,50.163557
-18780,82,51.052071
-21390,65,51.658305
-50690,164,53.039535
-485,4,53.07061
-14990,32,53.366472
-415,18,53.49805
-10775,67,54.059599
-6305,52,54.64359
-25400,198,56.487556
-26860,82,57.155419
-14480,33,57.426207
-41880,314,60.644754
-67985,355,63.731388
-59295,159,65.403679
-22945,57,65.946964
-9135,92,66.671563
-990,4,66.711988
-21165,110,67.588646
-28400,77,68.341198
-25725,107,69.217893
-43955,299,71.655555
-500,1,71.662392
-22695,107,72.610933
-3975,13,72.759195
-10390,43,73.190042
-5000,10,73.32688
-4000,8,73.398078
-13325,62,73.982887
-12575,111,75.136514
-8765,65,75.808801
-11500,23,76.032311
-450,11,76.156692
-7940,28,76.47688
-370,27,76.770843
-16485,36,77.077148
-2385,28,77.377639
-8405,137,78.626246
-11850,54,79.110266
-8340,49,79.590648
-15805,71,80.41265
-845,33,80.780095
-21905,63,81.296996
-500,1,81.3057
-30165,229,83.104902
-4390,31,83.352479
-17475,40,83.662978
-14155,98,84.45332
-15645,103,85.274988
-24535,143,86.407254
-16875,59,86.867201
-260,49,87.255143
-1500,3,87.279629
-30975,168,88.621479
-79170,340,91.344837
-1500,3,91.370478
-17000,34,91.629864
-53315,185,93.120559
-18050,127,94.301939
-55800,253,96.298859
-15820,68,96.834658
-8305,56,97.284488
-27355,84,97.926349
-415,18,98.064995
-27730,312,100.476635
-12480,29,100.720454
-315,38,101.032434
-435,115,101.946354
-35335,104,102.777268
-7865,43,103.115762
-9500,19,103.264005
-7000,14,103.37116
-26955,63,103.853775
-4645,81,104.505492
-245,52,104.912462
-25575,137,106.014833
-17830,111,106.890946
-1350,33,107.152282
-16400,53,107.566667
-10175,86,108.241112
-16830,68,108.781395
-435,14,108.888994
-14325,64,109.38263
-6920,131,110.422502
-9240,71,110.985883
-24980,54,111.401215
-7705,75,112.001478
-8615,95,112.751923
-85625,247,114.748441
-33900,88,115.438521
-7305,54,115.878611
-31975,271,118.012955
-15380,156,119.234999
-9470,25,119.437804
-10775,168,120.78054
-52345,237,122.640954
-20260,89,123.343754
-13765,75,123.945356
-45300,232,125.819997
-20225,96,126.583266
-14880,54,127.004363
-830,36,127.294393
-1320,39,127.606229
-24450,160,128.8743
-18285,181,130.302528
-23965,180,131.75838
-18785,81,132.40396
-1435,16,132.54383
-17410,53,132.963632
-12500,25,133.156604
-25950,62,133.64198
-7965,23,133.838154
-8350,47,134.194842
-8110,95,135.09799
-3470,13,135.282407
-12960,34,135.612387
-5465,18,135.79672
-24535,92,136.535767
-7635,89,137.233304
-18425,52,137.640179
-13335,60,138.123198
-9000,18,138.266169
-10975,27,138.481485
-500,1,138.494546
-8395,38,138.789157
-30125,136,139.850541
-26360,283,142.129998
-6980,18,142.266589
-1910,22,142.440256
-31810,203,144.033815
-390,23,144.227833
-11185,86,144.951759
-4985,13,145.056244
-5250,51,145.477938
-4800,50,145.8864
-7560,104,146.74231
-23740,100,147.542464
-4910,28,147.754959
-455,10,147.830578
-13950,38,148.129333
-6885,37,148.430899
-8345,48,148.815708
-44170,297,151.164162
-10500,21,151.323566
-1925,19,151.475919
-485,4,151.50868
-8935,31,151.753559
-16235,86,152.443955
-6475,18,152.590623
-15500,31,152.832096
-8880,42,153.169311
-11975,29,153.395159
-10730,177,154.865765
-11610,102,155.741184
-855,31,155.985432
-21445,155,157.226454
-18875,63,157.723112
-39000,78,158.345862
-10995,23,158.5145
-4500,9,158.590276
-7480,19,158.737571
-4905,29,158.967291
-9345,50,159.366331
-8920,34,159.623285
-8485,20,159.786794
-480,5,159.821464
-5855,41,160.150063
-490,3,160.176195
-8500,17,160.321603
-1405,22,160.486274
-835,35,160.784469
-13865,55,161.214684
-2000,4,161.244472
-11275,169,162.578941
-71235,701,168.167549
-30810,100,168.952074
-420,17,169.089556
-2765,53,169.522911
-17970,42,169.853562
-26375,78,170.470774
-21875,170,171.827894
-9370,45,172.184589
-5405,30,172.43022
-7040,107,173.272444
-7830,50,173.664171
-9205,78,174.301546
-15695,194,175.924218
-14655,99,176.832872
-8850,149,178.034008
-15150,101,178.851028
-10470,27,179.065361
-12495,26,179.273237
-7545,107,180.123461
-10460,130,181.189525
-14400,49,181.57895
-11790,167,182.919886
-91795,507,187.005729
-5960,20,187.16356
-13135,100,188.124874
-21450,154,189.349567
-16415,50,189.744235
-495,2,189.758201
-15885,55,190.202906
-13325,62,190.702622
-340,33,190.962617
-15340,63,191.457941
-19635,113,192.33714
-24505,149,193.49839
-9425,34,193.795487
-19135,213,195.492135
-10425,36,195.770383
-22585,129,196.789284
-27120,131,197.839454
-7205,74,198.427084
-11860,52,198.823821
-15995,33,199.091466
-2870,32,199.347111
-7695,77,199.967305
-8500,17,200.102712
-15125,106,200.991073
-11205,82,201.645431
-15415,48,202.033727
-54100,290,204.375586
-18860,66,204.907314
-3420,23,205.091211
-13370,53,205.517204
-21180,107,206.452913
-15355,60,206.959719
-5500,11,207.047858
-12410,43,207.39368
-13500,27,207.60921
-21430,57,208.056712
-1980,8,208.146769
-24810,88,208.856248
-9450,29,209.079611
-9970,26,209.289123
-18670,104,210.100447
-9350,49,210.4972
-63725,183,211.979194
-33000,167,213.396581
-11500,23,213.574082
-8665,85,214.258579
-15840,64,214.777516
-6500,13,214.874162
-5435,24,215.062804
-485,4,215.091757
-40105,160,216.370844
-1440,15,216.488105
-270,47,216.874737
-7805,156,218.119882
-42150,268,220.293737
-16330,67,220.839231
-5430,126,221.85453
-7000,14,221.970422
-935,15,222.094764
-11965,31,222.346317
-990,4,222.372203
-6000,12,222.471014
-8970,24,222.665267
-8425,32,222.918744
-4500,9,222.991851
-5460,19,223.141979
-1990,6,223.18953
-5445,22,223.367186
-5425,26,223.570425
-940,14,223.686804
-5290,53,224.127663
-12250,75,224.721475
-24985,53,225.144156
-18185,100,225.938857
-7195,78,226.566891
-500,1,226.573858
-14665,97,227.355845
-29865,188,228.856405
-99230,519,232.969207
-26450,63,233.472472
-40000,80,234.100915
-7480,74,234.707129
-45,92,235.459248
-9710,34,235.740302
-31570,150,236.97098
-4675,75,237.568066
-77535,249,239.540377
-5000,10,239.623381
-36550,311,242.171036
-23300,87,242.855672
-27330,190,244.372718
-17255,84,245.048199
-5985,15,245.170963
-6835,47,245.567038
-2500,5,245.604898
-6860,42,245.962325
-7485,18,246.247426
-5835,63,246.743833
-425,16,246.877195
-16295,175,248.269636
-15500,31,248.513708
-4170,75,249.246234
-12400,45,249.604083
-6590,31,249.844069
-7435,28,250.072355
-8320,53,250.499286
-14255,78,251.137935
-9795,61,251.712838
-6805,53,252.138356
-8315,54,252.571204
-13805,512,256.729382
-36510,167,258.081313
-7500,15,258.198396
-10500,21,258.362758
-14095,110,259.239968
-7440,27,259.449969
-10465,28,259.956216
-8000,16,260.080057
-295,42,260.4205
-12595,208,262.174322
-11500,23,262.376193
-11370,49,262.801839
-445,12,262.898188
-8905,37,263.197603
-8415,34,263.465276
-240,53,263.893567
-8395,38,264.198709
-500,1,264.206248
-8000,16,264.337893
-5885,35,264.622574
-490,3,264.642637
-14975,35,264.921698
-28535,252,266.948999
-15410,49,267.335852
-455,10,267.416056
-2520,102,268.238659
-7210,73,268.819368
-5485,14,268.930156
-205,60,269.401792
-16525,129,270.443449
-10370,47,270.82387
-31875,227,272.626732
-7930,30,272.866212
-3265,54,273.295041
-19955,150,274.512501
-22470,253,276.523334
-12165,92,277.270742
-12050,77,277.892056
-6145,84,278.56297
-500,1,278.570167
-9365,46,278.931466
-900,22,279.113105
-925,17,279.247614
-9890,42,279.580332
-4480,13,279.68768
-935,15,279.803955
-15500,31,280.061296
-6585,97,280.839104
-1960,12,280.930349
-32705,226,282.734635
-21500,346,285.501299
-430,15,285.620427
-2000,4,285.654717
-5000,10,285.743808
-4785,238,287.680722
-12660,94,288.409478
-5405,30,288.654535
-425,16,288.779408
-320,37,289.077811
-8395,38,289.383678
-17240,188,290.889358
-1000,2,290.908832
-19285,82,291.55446
-5495,12,291.652224
-8070,103,292.464803
-8640,90,293.170658
-455,10,293.254824
-9785,63,293.754658
-14460,37,294.058613
-10725,77,294.681174
-735,55,295.139578
-865,29,295.365651
-15020,128,296.421132
-10885,45,296.78632
-11245,74,297.384093
-8695,79,298.01672
-23300,390,301.689789
-1955,13,301.825174
-6380,37,302.174875
-8475,22,302.36831
-4990,12,302.481777
-10360,49,303.149727
-9415,36,303.481394
-22820,82,304.315645
-36975,98,305.061243
-39290,417,309.676999
-12500,25,309.868821
-12930,40,310.190631
-10500,21,310.348035
-5115,189,312.103341
-11425,38,312.388332
-4890,32,312.639121
-7335,48,313.024809
-480,5,313.061514
-1480,7,313.119891
-22930,262,315.141653
-8380,142,316.241405
-9500,19,316.391009
-8495,18,316.528665
-16075,118,317.436627
-13575,113,318.292554
-15835,267,320.342741
-5000,10,320.418598
-8000,16,320.538137
-13305,66,321.045247
-11500,23,321.214134
-22185,209,322.785301
-17300,277,324.91068
-7880,40,325.22765
-19275,75,325.819396
-5890,34,326.081291
-7130,89,326.755491
-9495,20,326.905382
-13395,48,327.266601
-5275,56,327.691078
-1375,28,327.905215
-7665,83,328.557224
-7335,48,328.921338
-8495,18,329.055549
-13500,27,329.256452
-10740,175,330.581519
-12000,24,330.773696
-8975,23,330.942258
-5410,29,331.161677
-10855,152,332.34071
-460,9,332.411966
-9125,45,332.764144
-6705,83,333.41421
-14490,31,333.639858
-7480,19,333.786427
-7915,33,334.04462
-8995,19,334.18666
-7825,152,335.329082
-9470,25,335.52741
-4500,9,335.598994
-64670,715,341.863436
-11235,76,342.467923
-5995,13,342.565678
-9860,48,342.928078
-11965,31,343.172247
-13935,41,343.496959
-18705,97,344.284757
-8750,68,344.812545
-15720,352,347.559615
-11455,32,347.820806
-9955,29,348.05037
-13890,50,348.436579
-12970,32,348.728223
-565,89,349.419063
-11485,26,349.625973
-12620,102,350.419434
-7855,45,350.781169
